episode,agent_type,step,hour,action,soc,soc_after,pv_kw,load_kw,diesel_on,diesel_kw,battery_kw,unmet_load_kw,curtailed_kw,health,reward,rew_unmet_load,rew_fuel,rew_battery_stress,rew_diesel_solar
0,drl,0,0,3,0.7,0.6213,0.001,7.873,0,0.0,7.873,0.0,0.0,0.99997,0.0,-0.0,-0.0,-0.0,0.0
0,drl,1,1,3,0.6213,0.5403,0.003,8.101,0,0.0,8.098,0.0,0.0,0.99994,0.0,-0.0,-0.0,-0.0,0.0
0,drl,2,2,3,0.5403,0.4569,0.008,8.347,0,0.0,8.339,0.0,0.0,0.9999,0.0,-0.0,-0.0,-0.0,0.0
0,drl,3,3,1,0.4569,0.3681,0.033,8.909,0,0.0,8.876,0.0,0.0,0.99987,-0.0159,-0.0,-0.0,-0.0159,0.0
0,drl,4,4,1,0.3681,0.301,0.072,6.785,0,0.0,6.714,0.0,0.0,0.99984,-0.0495,-0.0,-0.0,-0.0495,0.0
0,drl,5,5,0,0.301,0.3855,0.186,8.04,1,17.04,-9.186,0.0,0.0,0.99981,-3.7744,-0.0,-3.7672,-0.0072,0.0
0,drl,6,6,0,0.3855,0.4712,0.308,7.79,1,16.79,-9.308,0.0,0.0,0.99977,-3.7223,-0.0,-3.7223,-0.0,0.0
0,drl,7,7,0,0.4712,0.5613,0.792,7.299,1,16.299,-9.792,0.0,0.0,0.99974,-3.6338,-0.0,-3.6338,-0.0,0.0
0,drl,8,8,0,0.5613,0.6593,1.649,7.705,1,16.705,-10.649,0.0,0.0,0.9997,-3.7069,-0.0,-3.7069,-0.0,0.0
0,drl,9,9,1,0.6593,0.6003,3.143,9.037,0,0.0,5.895,0.0,0.0,0.99967,0.0,-0.0,-0.0,-0.0,0.0
0,drl,10,10,1,0.6003,0.5488,4.283,9.433,0,0.0,5.15,0.0,0.0,0.99965,0.0,-0.0,-0.0,-0.0,0.0
0,drl,11,11,1,0.5488,0.5142,5.19,8.65,0,0.0,3.46,0.0,0.0,0.99964,0.0,-0.0,-0.0,-0.0,0.0
0,drl,12,12,1,0.5142,0.4975,7.2,8.87,0,0.0,1.67,0.0,0.0,0.99963,0.0,-0.0,-0.0,-0.0,0.0
0,drl,13,13,1,0.4975,0.4745,6.397,8.694,0,0.0,2.297,0.0,0.0,0.99962,0.0,-0.0,-0.0,-0.0,0.0
0,drl,14,14,1,0.4745,0.4183,6.343,11.962,0,0.0,5.619,0.0,0.0,0.9996,0.0,-0.0,-0.0,-0.0,0.0
0,drl,15,15,3,0.4183,0.3235,4.892,14.363,0,0.0,9.471,0.0,0.0,0.99956,-0.0382,-0.0,-0.0,-0.0382,0.0
0,drl,16,16,0,0.3235,0.4456,4.263,20.34,1,29.34,-13.263,0.0,0.0,0.99951,-5.9811,-0.0,-5.9811,-0.0,0.0
0,drl,17,17,3,0.4456,0.2219,3.055,25.416,0,0.0,22.361,0.0,0.0,0.99942,-0.0891,-0.0,-0.0,-0.0891,0.0
0,drl,18,18,2,0.2219,0.2368,1.619,29.159,1,29.159,-1.619,0.0,0.0,0.99942,-6.0303,-0.0,-5.9487,-0.0816,0.0
0,drl,19,19,0,0.2368,0.2,1.089,39.552,1,30.0,8.463,0.0,0.0,0.9994,-6.2,-0.0,-6.1,-0.1,0.0
0,drl,20,20,0,0.2,0.2,0.384,41.358,1,30.0,10.975,0.0,0.0,0.9994,-6.2,-0.0,-6.1,-0.1,0.0
0,drl,21,21,0,0.2,0.2,0.247,36.686,1,30.0,6.438,0.0,0.0,0.9994,-6.2,-0.0,-6.1,-0.1,0.0
0,drl,22,22,2,0.2,0.2008,0.083,28.504,1,28.504,-0.083,0.0,0.0,0.9994,-5.9304,-0.0,-5.8307,-0.0996,0.0
0,drl,23,23,2,0.2008,0.2,0.034,30.11,1,30.0,0.076,0.0,0.0,0.9994,-6.2,-0.0,-6.1,-0.1,0.0
1,drl,0,0,3,0.7,0.6121,0.001,8.789,0,0.0,8.788,0.0,0.0,0.99996,0.0,-0.0,-0.0,-0.0,0.0
1,drl,1,1,3,0.6121,0.5447,0.003,6.749,0,0.0,6.746,0.0,0.0,0.99994,0.0,-0.0,-0.0,-0.0,0.0
1,drl,2,2,3,0.5447,0.4605,0.01,8.429,0,0.0,8.419,0.0,0.0,0.9999,0.0,-0.0,-0.0,-0.0,0.0
1,drl,3,3,1,0.4605,0.3751,0.026,8.558,0,0.0,8.532,0.0,0.0,0.99987,-0.0124,-0.0,-0.0,-0.0124,0.0
1,drl,4,4,1,0.3751,0.2931,0.084,8.282,0,0.0,8.198,0.0,0.0,0.99984,-0.0534,-0.0,-0.0,-0.0534,0.0
1,drl,5,5,0,0.2931,0.3779,0.207,8.525,1,17.525,-9.207,0.0,0.0,0.9998,-3.8656,-0.0,-3.8545,-0.0111,0.0
1,drl,6,6,0,0.3779,0.4645,0.421,7.844,1,16.844,-9.421,0.0,0.0,0.99977,-3.7319,-0.0,-3.7319,-0.0,0.0
1,drl,7,7,0,0.4645,0.5557,0.904,8.577,1,17.577,-9.904,0.0,0.0,0.99973,-3.8639,-0.0,-3.8639,-0.0,0.0
1,drl,8,8,0,0.5557,0.6551,1.806,7.728,1,16.728,-10.806,0.0,0.0,0.99969,-3.711,-0.0,-3.711,-0.0,0.0
1,drl,9,9,1,0.6551,0.6034,2.613,7.785,0,0.0,5.172,0.0,0.0,0.99967,0.0,-0.0,-0.0,-0.0,0.0
1,drl,10,10,1,0.6034,0.5687,4.372,7.836,0,0.0,3.464,0.0,0.0,0.99966,0.0,-0.0,-0.0,-0.0,0.0
1,drl,11,11,1,0.5687,0.5445,6.884,9.303,0,0.0,2.418,0.0,0.0,0.99965,0.0,-0.0,-0.0,-0.0,0.0
1,drl,12,12,1,0.5445,0.5171,4.041,6.783,0,0.0,2.742,0.0,0.0,0.99964,0.0,-0.0,-0.0,-0.0,0.0
1,drl,13,13,1,0.5171,0.4944,7.011,9.279,0,0.0,2.268,0.0,0.0,0.99963,0.0,-0.0,-0.0,-0.0,0.0
1,drl,14,14,1,0.4944,0.4451,7.029,11.958,0,0.0,4.929,0.0,0.0,0.99961,0.0,-0.0,-0.0,-0.0,0.0
1,drl,15,15,1,0.4451,0.3894,7.2,12.767,0,0.0,5.567,0.0,0.0,0.99959,-0.0053,-0.0,-0.0,-0.0053,0.0
1,drl,16,16,0,0.3894,0.4846,4.12,23.782,1,30.0,-10.338,0.0,0.0,0.99955,-6.1,-0.0,-6.1,-0.0,0.0
1,drl,17,17,3,0.4846,0.2538,3.247,26.316,0,0.0,23.069,0.0,0.0,0.99946,-0.0731,-0.0,-0.0,-0.0731,0.0
1,drl,18,18,2,0.2538,0.269,1.657,23.762,1,23.762,-1.657,0.0,0.0,0.99945,-5.0426,-0.0,-4.9772,-0.0655,0.0
1,drl,19,19,2,0.269,0.2392,0.999,33.98,1,30.0,2.981,0.0,0.0,0.99944,-6.1804,-0.0,-6.1,-0.0804,0.0
1,drl,20,20,2,0.2392,0.2218,0.386,32.13,1,30.0,1.744,0.0,0.0,0.99943,-6.1891,-0.0,-6.1,-0.0891,0.0
1,drl,21,21,2,0.2218,0.2236,0.203,29.738,1,29.738,-0.203,0.0,0.0,0.99943,-6.1411,-0.0,-6.0529,-0.0882,0.0
1,drl,22,22,2,0.2236,0.2244,0.079,29.959,1,29.959,-0.079,0.0,0.0,0.99943,-6.1805,-0.0,-6.0927,-0.0878,0.0
1,drl,23,23,2,0.2244,0.2246,0.028,22.895,1,22.895,-0.028,0.0,0.0,0.99943,-4.9089,-0.0,-4.8212,-0.0877,0.0
2,drl,0,0,3,0.7,0.625,0.001,7.498,0,0.0,7.498,0.0,0.0,0.99997,0.0,-0.0,-0.0,-0.0,0.0
2,drl,1,1,3,0.625,0.5685,0.002,5.656,0,0.0,5.654,0.0,0.0,0.99995,0.0,-0.0,-0.0,-0.0,0.0
2,drl,2,2,3,0.5685,0.4776,0.011,9.098,0,0.0,9.087,0.0,0.0,0.99991,0.0,-0.0,-0.0,-0.0,0.0
2,drl,3,3,1,0.4776,0.3904,0.026,8.743,0,0.0,8.716,0.0,0.0,0.99988,-0.0048,-0.0,-0.0,-0.0048,0.0
2,drl,4,4,1,0.3904,0.3166,0.083,7.468,0,0.0,7.385,0.0,0.0,0.99985,-0.0417,-0.0,-0.0,-0.0417,0.0
2,drl,5,5,0,0.3166,0.4016,0.236,7.702,1,16.702,-9.236,0.0,0.0,0.99981,-3.7064,-0.0,-3.7064,-0.0,0.0
2,drl,6,6,0,0.4016,0.4885,0.45,7.24,1,16.24,-9.45,0.0,0.0,0.99978,-3.6232,-0.0,-3.6232,-0.0,0.0
2,drl,7,7,0,0.4885,0.5809,1.041,7.907,1,16.907,-10.041,0.0,0.0,0.99974,-3.7433,-0.0,-3.7433,-0.0,0.0
2,drl,8,8,1,0.5809,0.5261,1.942,7.425,0,0.0,5.483,0.0,0.0,0.99972,0.0,-0.0,-0.0,-0.0,0.0
2,drl,9,9,0,0.5261,0.6366,3.016,7.172,1,16.172,-12.016,0.0,0.0,0.99967,-3.611,-0.0,-3.611,-0.0,0.0
2,drl,10,10,1,0.6366,0.6029,4.918,8.287,0,0.0,3.369,0.0,0.0,0.99966,0.0,-0.0,-0.0,-0.0,0.0
2,drl,11,11,1,0.6029,0.5764,6.051,8.709,0,0.0,2.658,0.0,0.0,0.99965,0.0,-0.0,-0.0,-0.0,0.0
2,drl,12,12,1,0.5764,0.5382,5.778,9.596,0,0.0,3.817,0.0,0.0,0.99964,0.0,-0.0,-0.0,-0.0,0.0
2,drl,13,13,1,0.5382,0.5316,7.2,7.853,0,0.0,0.653,0.0,0.0,0.99963,0.0,-0.0,-0.0,-0.0,0.0
2,drl,14,14,1,0.5316,0.4866,5.044,9.55,0,0.0,4.505,0.0,0.0,0.99961,0.0,-0.0,-0.0,-0.0,0.0
2,drl,15,15,1,0.4866,0.4019,6.493,14.96,0,0.0,8.467,0.0,0.0,0.99958,0.0,-0.0,-0.0,-0.0,0.0
2,drl,16,16,3,0.4019,0.245,5.073,20.756,0,0.0,15.682,0.0,0.0,0.99952,-0.0775,-0.0,-0.0,-0.0775,0.0
