step,hour,action,soc,soc_after,pv_kw,load_kw,diesel_on,diesel_kw,battery_kw,unmet_load_kw,curtailed_kw,health,reward,rew_unmet_load,rew_fuel,rew_battery_stress,rew_diesel_idle,agent_type,action_label
0,0,1,0.7,0.611,0.001,8.903,0,0.0,8.902,0.0,0.0,0.99996,0.0,-0.0,-0.0,-0.0,0.0,rule_based,discharge_bat
1,1,1,0.611,0.534,0.002,7.696,0,0.0,7.694,0.0,0.0,0.99993,0.0,-0.0,-0.0,-0.0,0.0,rule_based,discharge_bat
2,2,1,0.534,0.4467,0.01,8.747,0,0.0,8.737,0.0,0.0,0.9999,0.0,-0.0,-0.0,-0.0,0.0,rule_based,discharge_bat
3,3,2,0.4467,0.4637,0.03,7.175,1,9.0,-1.855,0.0,0.0,0.99989,-2.32,-0.0,-2.32,-0.0,0.0,rule_based,diesel_only
4,4,2,0.4637,0.4742,0.091,7.952,1,9.0,-1.138,0.0,0.0,0.99989,-2.32,-0.0,-2.32,-0.0,0.0,rule_based,diesel_only
5,5,2,0.4742,0.487,0.243,7.852,1,9.0,-1.392,0.0,0.0,0.99988,-2.32,-0.0,-2.32,-0.0,0.0,rule_based,diesel_only
6,6,2,0.487,0.4977,0.511,8.351,1,9.0,-1.16,0.0,0.0,0.99988,-2.32,-0.0,-2.32,-0.0,0.0,rule_based,diesel_only
7,7,2,0.4977,0.5223,1.287,7.612,1,9.0,-2.675,0.0,0.0,0.99987,-2.32,-0.0,-2.32,-0.0,0.0,rule_based,diesel_only
8,8,1,0.5223,0.451,1.961,9.094,0,0.0,7.133,0.0,0.0,0.99984,0.0,-0.0,-0.0,-0.0,0.0,rule_based,discharge_bat
9,9,2,0.451,0.478,2.594,8.66,1,9.0,-2.934,0.0,0.0,0.99983,-2.32,-0.0,-2.32,-0.0,0.0,rule_based,diesel_only
10,10,2,0.478,0.5203,3.931,8.33,1,9.0,-4.601,0.0,0.0,0.99981,-2.32,-0.0,-2.32,-0.0,0.0,rule_based,diesel_only
11,11,1,0.5203,0.5002,6.519,8.523,0,0.0,2.004,0.0,0.0,0.9998,0.0,-0.0,-0.0,-0.0,0.0,rule_based,discharge_bat
12,12,1,0.5002,0.4769,7.106,9.436,0,0.0,2.329,0.0,0.0,0.99979,0.0,-0.0,-0.0,-0.0,0.0,rule_based,discharge_bat
13,13,2,0.4769,0.5385,6.692,9.025,1,9.025,-6.692,0.0,0.0,0.99977,-2.3246,-0.0,-2.3246,-0.0,0.0,rule_based,diesel_only
